Frame,Median Fitness,Mean Fitness,Maximum Fitness,Median Age,Median Health,Population
0,2,1,2,2,1,25
1,2.9250002,1.9365389,3.375,3,0.975,26
2,3.8000002,2.9711533,4.4,4,0.95000005,26
3,4.6250005,3.8401783,6.875,5,0.9250001,28
4,5.4000006,4.8607144,8.1,6,0.9000001,28
5,6.125001,5.997322,10.325,7,0.8750001,28
6,6.800001,7.0410714,12.8,8,0.85000014,28
7,7.4250016,8.184823,16.875,9,0.82500017,28
8,8.000002,8.914828,21.499996,10,0.8000002,29
9,8.5250025,9.777069,23.374989,11,0.7750002,29
10,9.000003,10.770346,25.199982,12,0.75000024,29
11,9.425003,11.879139,26.974972,13,0.72500026,29
12,9.800004,13.093103,28.699963,14,0.7000003,29
13,10.125005,14.050174,32.624954,15,0.6750003,29
14,10.400005,15.024483,36.799942,16,0.65000033,29
15,10.625006,15.793622,38.674927,17,0.62500036,29
16,10.800007,16.843796,40.499916,18,0.6000004,29
17,10.925008,17.430176,42.2749,19,0.5750004,29
18,14.000008,17.686003,46.999886,20,0.7000004,30
19,14.175009,18.334354,48.824867,21,0.6750004,31
20,14.30001,19.464516,53.89985,22,0.65000045,31
21,14.375011,20.176939,55.77483,23,0.6250005,31
22,14.400012,20.858713,57.599808,24,0.6000005,31
23,18.125013,21.96952,59.374786,25,0.7250005,31
24,18.200014,23.09322,68.899765,26,0.7000005,31
25,18.225016,24.084677,70.87474,27,0.67500055,31
26,30.800014,25.100311,76.99996,28,1.1000005,32
27,31.175014,26.256096,83.37495,29,1.0750005,32
28,31.500017,27.038433,85.49992,30,1.0500005,32
29,41.075016,26.746906,87.574905,31,1.3250005,34
30,51.200016,27.339706,94.39989,32,1.6000005,35
31,56.92502,29.06671,96.524864,33,1.7250005,35
32,113.89956,29.904442,113.89956,34,3.349987,36
33,121.62453,30.928738,121.62453,35,3.4749866,36
34,124.19949,31.8697,124.19949,36,3.449986,36
35,126.72446,32.802353,126.72446,37,3.4249854,36
36,129.19942,33.86415,129.19942,38,3.3999848,36
37,131.62439,34.917625,131.62439,39,3.3749843,36
38,139.99936,35.754425,139.99936,40,3.4999838,36
39,148.62431,36.991234,148.62431,41,3.6249833,36
40,157.49928,38.728027,157.49928,42,3.7499828,36
41,160.17424,42.0357,160.17424,43,3.7249823,34
42,162.7992,42.91379,162.7992,44,3.6999817,34
43,172.12416,44.002163,172.12416,45,3.8249812,34
44,174.7991,44.965538,174.7991,46,3.7999806,34
45,177.42406,47.62222,177.42406,47,3.77498,33
46,179.99902,49.18903,179.99902,48,3.7499795,33
47,116.37482,55.946426,182.52397,49,2.3749962,30
48,117.49978,55.270725,184.99892,50,2.3499956,31
49,126.224754,57.065876,195.07387,51,2.4749951,31
50,127.39972,59.561028,197.59882,52,2.4499946,31
51,128.52469,61.25135,200.07376,53,2.424994,31
52,137.69965,62.949726,202.49872,54,2.5499935,31
53,138.87462,64.43843,204.87413,55,2.524993,31
54,148.39958,66.46747,215.59909,56,2.6499925,31
55,149.62454,70.73337,226.57404,57,2.624992,30
56,159.4995,71.93735,229.099,58,2.7499914,30
57,160.77446,72.45633,231.57394,59,2.7249908,30
58,161.99942,73.90533,233.99889,60,2.6999903,30
59,163.17438,74.76931,236.37384,61,2.6749897,30
60,164.29933,76.22831,247.9988,62,2.6499891,30
61,165.37428,77.71729,278.77374,63,2.6249886,30
62,166.39923,78.86128,281.5987,64,2.599988,30
63,177.12419,80.905266,294.12366,65,2.7249875,30
64,178.19914,82.849266,306.8986,66,2.699987,30
65,179.22409,84.743256,309.87354,67,2.6749864,30
66,180.19904,86.16223,312.79846,68,2.6499858,30
67,201.82399,89.77621,315.6734,69,2.9249854,30
68,202.99893,91.02022,318.49835,70,2.8999848,30
69,204.12389,92.764175,331.92328,71,2.8749843,30
70,205.19882,93.668175,334.79822,72,2.8499837,30
71,20.075125,98.10775,337.62317,73,0.2750017,29
72,18.500128,98.51083,340.3981,74,0.25000173,29
73,309.37234,106.63253,343.12302,75,4.1249647,27
74,311.5973,108.97197,345.79794,76,4.099964,27
75,313.7722,109.80031,348.42288,77,4.0749636,27
76,327.5971,111.88416,350.9978,78,4.199963,27
77,329.82205,113.46802,353.52274,79,4.1749625,27
78,8.000147,112.58539,355.99765,80,0.100001834,28
79,6.0751476,114.40876,370.5726,81,0.07500182,28
80,4.100149,116.33215,373.0975,82,0.05000182,28
81,14.525153,117.60017,375.57245,83,0.17500184,28
