Frame,Median Fitness,Mean Fitness,Maximum Fitness,Median Age,Median Health,Population
0,0,0,2,0,1,25
1,4.875,5.025,6.375,5,0.975,25
2,9.5,10.04,15.5,10,0.95000005,25
3,13.875001,14.955,25.125,15,0.9250001,25
4,18.000002,19.26923,33,20,0.9000001,26
5,21.875004,24.10577,40.625,25,0.8750001,26
6,25.500004,28.923077,48,30,0.85000014,26
7,28.875006,33.432693,55.125,35,0.82500017,26
8,32.000008,38.269234,68,40,0.8000002,26
9,34.87501,42.451927,75.375,45,0.7750002,26
10,37.50001,45.276115,82.50001,50,0.75000024,27
11,48.12501,47.56822,97.62501,55,0.87500024,28
12,69.000015,52.81822,114.00001,60,1.1500002,28
13,73.125015,55.564316,141.37498,65,1.1250002,29
14,160.99994,56.70081,160.99994,70,2.2999992,31
15,181.87491,61.516132,181.87491,75,2.4249988,31
16,191.99985,66.82984,191.99985,80,2.3999982,31
17,138.12502,67.16743,214.6248,85,1.6250002,33
18,90.00003,69.590294,224.99974,90,1.0000004,34
19,92.62504,74.08295,249.37468,95,0.9750004,34
20,95.00004,77.97429,274.99963,100,0.9500004,35
21,112.875046,83.86499,286.12454,105,1.0750004,35
22,132.00005,89.817154,313.49945,110,1.2000004,35
23,135.12505,94.87642,342.1244,115,1.1750004,35
24,84.00006,98.358315,353.9993,120,0.7000005,36
25,84.37507,102.65278,365.62418,125,0.67500055,36
26,84.50008,110.13472,376.99945,130,0.6500006,36
27,84.375084,114.128235,408.374,135,0.6250006,37
28,84.000084,119.98564,440.99887,140,0.6000006,37
29,83.37509,122.9012,453.12418,145,0.57500064,37
30,60.000103,127.419044,487.49908,150,0.4000007,38
31,58.12511,133.09143,499.87396,155,0.37500072,38
32,56.00012,134.4838,535.9984,160,0.35000074,39
33,28.87513,135.54745,548.6237,165,0.17500079,40
34,25.500137,139.9425,560.9986,170,0.15000081,40
35,21.875147,143.77122,573.1234,175,0.12500083,40
36,18.000147,154.58203,638.9978,180,0.10000082,39
37,13.87515,158.45189,679.8727,185,0.07500081,39
38,133.00012,162.13669,721.9975,190,0.70000064,40
39,131.62514,168.0467,736.1223,195,0.67500067,40
40,130.00014,172.92671,779.99713,200,0.6500007,40
41,25.625202,188.93979,794.37195,205,0.12500098,38
42,21.000204,189.20746,808.49677,210,0.10000097,39
43,16.125206,199.15752,854.6216,215,0.07500096,38
44,11.00021,200.32721,854.6216,220,0.050000954,38
45,5.625216,209.98116,854.6216,225,0.02500096,38
46,2.21E-04,213.3075,854.6216,230,9.61E-07,38
47,99.875244,245.52292,854.6216,235,0.42500103,34
48,96.00025,253.57434,854.6216,240,0.40000105,34
49,91.87526,249.26068,854.6216,245,0.37500107,35
50,87.500275,253.27422,854.6216,250,0.3500011,35
51,82.87528,262.03067,854.6216,255,0.32500112,35
52,78.0003,268.4499,854.6216,260,0.30000114,35
53,422.6251,268.0326,854.6216,245,1.7250004,36
54,425.0001,263.69437,904.4941,250,1.7000004,37
55,427.12512,268.45175,914.3688,255,1.6750004,37
56,369.30515,277.5303,923.9935,233,1.5850006,36
57,252.28015,282.77332,976.1183,238,1.0600007,36
58,251.50517,277.1647,985.993,243,1.0350007,37
59,625.6025,297.8819,1039.8677,233,2.6849892,35
60,668.77734,305.06683,1049.9924,238,2.8099887,35
